Start Time, Sun Mar 18 11:29:39 GMT-0400 2007
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 28.297512
Real Time (s), 28.620118
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 30
11, 8.315118610858917, 22
12, 9.071038484573364, 24
13, 9.826958358287811, 32
14, 10.582878232002258, 26
15, 11.338798105716705, 24
16, 12.094717979431152, 37
17, 12.8506378531456, 29
18, 13.606557726860046, 18
19, 14.362477600574493, 23
20, 15.11839747428894, 28
21, 15.874317348003387, 30
22, 16.630237221717834, 30
23, 17.38615709543228, 24
24, 18.14207696914673, 38
25, 18.897996842861176, 39
26, 19.653916716575623, 40
27, 20.40983659029007, 28
28, 21.165756464004517, 35
29, 21.921676337718964, 30
30, 22.67759621143341, 30
31, 23.433516085147858, 40
32, 24.189435958862305, 31
33, 24.94535583257675, 32
34, 25.7012757062912, 33
35, 26.457195580005646, 28
36, 27.213115453720093, 27
37, 27.96903532743454, 41
38, 28.724955201148987, 38
39, 29.480875074863434, 25
40, 30.23679494857788, 34
41, 30.992714822292328, 31
42, 31.748634696006775, 41
43, 32.50455456972122, 32
44, 33.26047444343567, 29
45, 34.016394317150116, 38
46, 34.77231419086456, 37
47, 35.52823406457901, 29
48, 36.28415393829346, 43
49, 37.040073812007904, 27
50, 37.79599368572235, 34
51, 38.5519135594368, 31
52, 39.307833433151245, 25
53, 40.06375330686569, 29
54, 40.81967318058014, 28
55, 41.575593054294586, 38
56, 42.33151292800903, 23
57, 43.08743280172348, 38
58, 43.84335267543793, 24
59, 44.599272549152374, 22
60, 45.35519242286682, 40
61, 46.11111229658127, 30
62, 46.867032170295715, 35
63, 47.62295204401016, 39
64, 48.37887191772461, 33
65, 49.134791791439056, 43
66, 49.8907116651535, 35
67, 50.64663153886795, 30
68, 51.4025514125824, 37
69, 52.158471286296844, 37
70, 52.91439116001129, 46
71, 53.67031103372574, 29
72, 54.426230907440186, 42
73, 55.18215078115463, 38
74, 55.93807065486908, 50
75, 56.69399052858353, 48
76, 57.449910402297974, 37
77, 58.20583027601242, 33
78, 58.96175014972687, 39
79, 59.717670023441315, 42
80, 60.47358989715576, 31
81, 61.22950977087021, 33
82, 61.985429644584656, 37
83, 62.7413495182991, 35
84, 63.49726939201355, 41
85, 64.253189265728, 40
86, 65.00910913944244, 50
87, 65.76502901315689, 31
88, 66.52094888687134, 42
89, 67.27686876058578, 43
90, 68.03278863430023, 34
91, 68.78870850801468, 43
92, 69.54462838172913, 48
