Start Time, Sun Mar 25 11:42:20 GMT-0400 2007
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 1199.585158
Real Time (s), 1200
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 79
11, 8.315118610858917, 86
12, 9.071038484573364, 90
13, 9.826958358287811, 89
14, 10.582878232002258, 102
15, 11.338798105716705, 106
16, 12.094717979431152, 91
17, 12.8506378531456, 89
18, 13.606557726860046, 92
19, 14.362477600574493, 106
20, 15.11839747428894, 106
21, 15.874317348003387, 101
22, 16.630237221717834, 91
23, 17.38615709543228, 105
24, 18.14207696914673, 110
25, 18.897996842861176, 100
26, 19.653916716575623, 90
27, 20.40983659029007, 120
28, 21.165756464004517, 107
29, 21.921676337718964, 104
30, 22.67759621143341, 119
31, 23.433516085147858, 121
32, 24.189435958862305, 127
33, 24.94535583257675, 123
34, 25.7012757062912, 98
35, 26.457195580005646, 127
36, 27.213115453720093, 123
37, 27.96903532743454, 121
38, 28.724955201148987, 133
39, 29.480875074863434, 142
40, 30.23679494857788, 144
41, 30.992714822292328, 174
42, 31.748634696006775, 156
43, 32.50455456972122, 147
44, 33.26047444343567, 184
45, 34.016394317150116, 198
46, 34.77231419086456, 241
47, 35.52823406457901, 200
48, 36.28415393829346, 278
49, 37.040073812007904, 324
50, 37.79599368572235, 327
51, 38.5519135594368, 321
52, 39.307833433151245, 350
53, 40.06375330686569, 336
54, 40.81967318058014, 353
55, 41.575593054294586, 354
56, 42.33151292800903, 321
57, 43.08743280172348, 311
58, 43.84335267543793, 308
59, 44.599272549152374, 352
60, 45.35519242286682, 339
61, 46.11111229658127, 314
62, 46.867032170295715, 358
63, 47.62295204401016, 303
64, 48.37887191772461, 312
65, 49.134791791439056, 332
66, 49.8907116651535, 342
67, 50.64663153886795, 294
68, 51.4025514125824, 306
69, 52.158471286296844, 312
70, 52.91439116001129, 349
71, 53.67031103372574, 340
72, 54.426230907440186, 324
73, 55.18215078115463, 320
74, 55.93807065486908, 314
75, 56.69399052858353, 325
76, 57.449910402297974, 333
77, 58.20583027601242, 318
78, 58.96175014972687, 301
79, 59.717670023441315, 327
80, 60.47358989715576, 339
81, 61.22950977087021, 352
82, 61.985429644584656, 332
83, 62.7413495182991, 316
84, 63.49726939201355, 338
85, 64.253189265728, 325
86, 65.00910913944244, 341
87, 65.76502901315689, 313
88, 66.52094888687134, 327
89, 67.27686876058578, 294
90, 68.03278863430023, 298
91, 68.78870850801468, 303
92, 69.54462838172913, 311
