Start Time, Sun Mar 25 09:56:03 GMT-0400 2007
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 299.891636
Real Time (s), 300
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 18
11, 8.315118610858917, 22
12, 9.071038484573364, 21
13, 9.826958358287811, 23
14, 10.582878232002258, 19
15, 11.338798105716705, 21
16, 12.094717979431152, 17
17, 12.8506378531456, 19
18, 13.606557726860046, 26
19, 14.362477600574493, 23
20, 15.11839747428894, 23
21, 15.874317348003387, 21
22, 16.630237221717834, 24
23, 17.38615709543228, 20
24, 18.14207696914673, 24
25, 18.897996842861176, 26
26, 19.653916716575623, 25
27, 20.40983659029007, 34
28, 21.165756464004517, 21
29, 21.921676337718964, 29
30, 22.67759621143341, 26
31, 23.433516085147858, 43
32, 24.189435958862305, 30
33, 24.94535583257675, 37
34, 25.7012757062912, 39
35, 26.457195580005646, 14
36, 27.213115453720093, 22
37, 27.96903532743454, 29
38, 28.724955201148987, 31
39, 29.480875074863434, 20
40, 30.23679494857788, 36
41, 30.992714822292328, 36
42, 31.748634696006775, 35
43, 32.50455456972122, 39
44, 33.26047444343567, 47
45, 34.016394317150116, 47
46, 34.77231419086456, 55
47, 35.52823406457901, 59
48, 36.28415393829346, 67
49, 37.040073812007904, 57
50, 37.79599368572235, 72
51, 38.5519135594368, 89
52, 39.307833433151245, 86
53, 40.06375330686569, 65
54, 40.81967318058014, 79
55, 41.575593054294586, 68
56, 42.33151292800903, 69
57, 43.08743280172348, 88
58, 43.84335267543793, 64
59, 44.599272549152374, 93
60, 45.35519242286682, 67
61, 46.11111229658127, 59
62, 46.867032170295715, 88
63, 47.62295204401016, 80
64, 48.37887191772461, 84
65, 49.134791791439056, 89
66, 49.8907116651535, 81
67, 50.64663153886795, 74
68, 51.4025514125824, 90
69, 52.158471286296844, 72
70, 52.91439116001129, 81
71, 53.67031103372574, 83
72, 54.426230907440186, 84
73, 55.18215078115463, 80
74, 55.93807065486908, 84
75, 56.69399052858353, 79
76, 57.449910402297974, 87
77, 58.20583027601242, 83
78, 58.96175014972687, 80
79, 59.717670023441315, 86
80, 60.47358989715576, 81
81, 61.22950977087021, 93
82, 61.985429644584656, 80
83, 62.7413495182991, 82
84, 63.49726939201355, 67
85, 64.253189265728, 82
86, 65.00910913944244, 67
87, 65.76502901315689, 93
88, 66.52094888687134, 79
89, 67.27686876058578, 78
90, 68.03278863430023, 79
91, 68.78870850801468, 75
92, 69.54462838172913, 78
