Start Time, Sun Mar 25 09:52:15 GMT-0400 2007
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 7197.517737
Real Time (s), 7200
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 460
11, 8.315118610858917, 447
12, 9.071038484573364, 408
13, 9.826958358287811, 399
14, 10.582878232002258, 421
15, 11.338798105716705, 466
16, 12.094717979431152, 431
17, 12.8506378531456, 459
18, 13.606557726860046, 472
19, 14.362477600574493, 462
20, 15.11839747428894, 514
21, 15.874317348003387, 460
22, 16.630237221717834, 473
23, 17.38615709543228, 461
24, 18.14207696914673, 501
25, 18.897996842861176, 476
26, 19.653916716575623, 494
27, 20.40983659029007, 486
28, 21.165756464004517, 482
29, 21.921676337718964, 517
30, 22.67759621143341, 534
31, 23.433516085147858, 515
32, 24.189435958862305, 509
33, 24.94535583257675, 523
34, 25.7012757062912, 560
35, 26.457195580005646, 537
36, 27.213115453720093, 532
37, 27.96903532743454, 594
38, 28.724955201148987, 591
39, 29.480875074863434, 613
40, 30.23679494857788, 637
41, 30.992714822292328, 680
42, 31.748634696006775, 709
43, 32.50455456972122, 752
44, 33.26047444343567, 828
45, 34.016394317150116, 868
46, 34.77231419086456, 987
47, 35.52823406457901, 1033
48, 36.28415393829346, 1098
49, 37.040073812007904, 1145
50, 37.79599368572235, 1258
51, 38.5519135594368, 1289
52, 39.307833433151245, 1250
53, 40.06375330686569, 1318
54, 40.81967318058014, 1292
55, 41.575593054294586, 1383
56, 42.33151292800903, 1304
57, 43.08743280172348, 1253
58, 43.84335267543793, 1298
59, 44.599272549152374, 1245
60, 45.35519242286682, 1286
61, 46.11111229658127, 1257
62, 46.867032170295715, 1270
63, 47.62295204401016, 1217
64, 48.37887191772461, 1246
65, 49.134791791439056, 1229
66, 49.8907116651535, 1309
67, 50.64663153886795, 1311
68, 51.4025514125824, 1326
69, 52.158471286296844, 1344
70, 52.91439116001129, 1340
71, 53.67031103372574, 1325
72, 54.426230907440186, 1356
73, 55.18215078115463, 1292
74, 55.93807065486908, 1366
75, 56.69399052858353, 1380
76, 57.449910402297974, 1347
77, 58.20583027601242, 1410
78, 58.96175014972687, 1455
79, 59.717670023441315, 1427
80, 60.47358989715576, 1433
81, 61.22950977087021, 1421
82, 61.985429644584656, 1465
83, 62.7413495182991, 1478
84, 63.49726939201355, 1416
85, 64.253189265728, 1435
86, 65.00910913944244, 1442
87, 65.76502901315689, 1467
88, 66.52094888687134, 1418
89, 67.27686876058578, 1401
